Número da Partida,Vencedor (1 ou 2),Vitórias Jogador 1,Vitórias Jogador 2,Empates
255,0,0,210,45
256,-1,0,211,45
257,0,0,211,46
258,0,0,211,47
259,-1,0,212,47
260,-1,0,213,47
261,-1,0,214,47
262,-1,0,215,47
263,-1,0,216,47
264,-1,0,217,47
265,0,0,217,48
266,0,0,217,49
267,-1,0,218,49
268,0,0,218,50
269,0,0,218,51
270,-1,0,219,51
271,0,0,219,52
272,-1,0,220,52
273,0,0,220,53
274,-1,0,221,53
275,-1,0,222,53
276,0,0,222,54
277,-1,0,223,54
278,-1,0,224,54
279,-1,0,225,54
280,-1,0,226,54
281,-1,0,227,54
282,-1,0,228,54
283,-1,0,229,54
284,-1,0,230,54
285,-1,0,231,54
286,0,0,231,55
287,-1,0,232,55
288,-1,0,233,55
289,-1,0,234,55
290,-1,0,235,55
291,0,0,235,56
292,0,0,235,57
293,-1,0,236,57
294,0,0,236,58
295,0,0,236,59
296,-1,0,237,59
297,-1,0,238,59
298,0,0,238,60
299,0,0,238,61
300,-1,0,239,61
301,-1,0,240,61
302,-1,0,241,61
303,-1,0,242,61
304,-1,0,243,61
305,-1,0,244,61
306,-1,0,245,61
307,-1,0,246,61
308,0,0,246,62
309,-1,0,247,62
310,0,0,247,63
311,-1,0,248,63
312,0,0,248,64
313,-1,0,249,64
314,-1,0,250,64
315,-1,0,251,64
316,-1,0,252,64
317,-1,0,253,64
318,-1,0,254,64
319,-1,0,255,64
320,-1,0,256,64
321,0,0,256,65
322,-1,0,257,65
323,-1,0,258,65
324,0,0,258,66
325,0,0,258,67
326,-1,0,259,67
327,-1,0,260,67
328,-1,0,261,67
329,-1,0,262,67
330,-1,0,263,67
331,-1,0,264,67
332,0,0,264,68
333,-1,0,265,68
334,0,0,265,69
335,-1,0,266,69
336,0,0,266,70
337,-1,0,267,70
338,-1,0,268,70
339,0,0,268,71
340,-1,0,269,71
341,-1,0,270,71
342,-1,0,271,71
343,0,0,271,72
344,-1,0,272,72
345,-1,0,273,72
346,-1,0,274,72
347,-1,0,275,72
348,0,0,275,73
349,-1,0,276,73
350,0,0,276,74
351,-1,0,277,74
352,-1,0,278,74
353,-1,0,279,74
354,0,0,279,75
355,-1,0,280,75
356,-1,0,281,75
357,-1,0,282,75
358,-1,0,283,75
359,0,0,283,76
360,-1,0,284,76
361,0,0,284,77
362,0,0,284,78
363,-1,0,285,78
364,-1,0,286,78
365,-1,0,287,78
366,-1,0,288,78
367,-1,0,289,78
368,-1,0,290,78
369,-1,0,291,78
370,0,0,291,79
371,-1,0,292,79
372,-1,0,293,79
373,-1,0,294,79
374,-1,0,295,79
375,-1,0,296,79
376,-1,0,297,79
377,-1,0,298,79
378,-1,0,299,79
379,-1,0,300,79
380,-1,0,301,79
381,-1,0,302,79
382,-1,0,303,79
383,-1,0,304,79
384,-1,0,305,79
385,-1,0,306,79
386,-1,0,307,79
387,-1,0,308,79
388,-1,0,309,79
389,-1,0,310,79
390,-1,0,311,79
391,-1,0,312,79
392,-1,0,313,79
393,0,0,313,80
394,-1,0,314,80
395,0,0,314,81
396,-1,0,315,81
397,-1,0,316,81
398,-1,0,317,81
399,-1,0,318,81
400,-1,0,319,81
401,-1,0,320,81
402,-1,0,321,81
403,-1,0,322,81
404,-1,0,323,81
405,-1,0,324,81
406,0,0,324,82
407,0,0,324,83
408,-1,0,325,83
409,-1,0,326,83
410,-1,0,327,83
411,-1,0,328,83
412,-1,0,329,83
413,-1,0,330,83
414,-1,0,331,83
415,-1,0,332,83
416,0,0,332,84
417,-1,0,333,84
418,0,0,333,85
419,0,0,333,86
420,-1,0,334,86
421,0,0,334,87
422,-1,0,335,87
423,-1,0,336,87
424,-1,0,337,87
425,-1,0,338,87
426,-1,0,339,87
427,-1,0,340,87
428,-1,0,341,87
429,-1,0,342,87
430,-1,0,343,87
431,-1,0,344,87
432,-1,0,345,87
433,-1,0,346,87
434,-1,0,347,87
435,-1,0,348,87
436,-1,0,349,87
437,0,0,349,88
438,-1,0,350,88
439,-1,0,351,88
440,-1,0,352,88
441,-1,0,353,88
442,-1,0,354,88
443,-1,0,355,88
444,-1,0,356,88
445,0,0,356,89
446,-1,0,357,89
447,-1,0,358,89
448,-1,0,359,89
449,0,0,359,90
450,-1,0,360,90
451,-1,0,361,90
452,-1,0,362,90
453,-1,0,363,90
454,-1,0,364,90
455,-1,0,365,90
456,-1,0,366,90
457,-1,0,367,90
458,-1,0,368,90
459,-1,0,369,90
460,-1,0,370,90
461,-1,0,371,90
462,-1,0,372,90
463,-1,0,373,90
464,-1,0,374,90
465,0,0,374,91
466,0,0,374,92
467,-1,0,375,92
468,0,0,375,93
469,0,0,375,94
470,-1,0,376,94
471,-1,0,377,94
472,0,0,377,95
473,-1,0,378,95
474,-1,0,379,95
475,0,0,379,96
476,-1,0,380,96
477,-1,0,381,96
478,-1,0,382,96
479,0,0,382,97
480,0,0,382,98
481,-1,0,383,98
482,-1,0,384,98
483,-1,0,385,98
484,0,0,385,99
485,0,0,385,100
486,0,0,385,101
487,-1,0,386,101
488,-1,0,387,101
489,-1,0,388,101
490,-1,0,389,101
491,-1,0,390,101
492,-1,0,391,101
493,-1,0,392,101
494,-1,0,393,101
495,-1,0,394,101
496,-1,0,395,101
497,-1,0,396,101
498,-1,0,397,101
499,0,0,397,102
500,-1,0,398,102
501,-1,0,399,102
502,-1,0,400,102
503,-1,0,401,102
504,-1,0,402,102
505,-1,0,403,102
506,-1,0,404,102
507,-1,0,405,102
508,-1,0,406,102
509,-1,0,407,102
510,-1,0,408,102
511,0,0,408,103
512,0,0,408,104
513,-1,0,409,104
514,-1,0,410,104
515,-1,0,411,104
516,-1,0,412,104
517,-1,0,413,104
518,-1,0,414,104
519,-1,0,415,104
520,-1,0,416,104
521,0,0,416,105
522,-1,0,417,105
523,-1,0,418,105
524,-1,0,419,105
525,-1,0,420,105
526,-1,0,421,105
527,-1,0,422,105
528,-1,0,423,105
529,-1,0,424,105
530,-1,0,425,105
531,-1,0,426,105
532,-1,0,427,105
533,-1,0,428,105
534,-1,0,429,105
535,-1,0,430,105
536,-1,0,431,105
537,-1,0,432,105
538,-1,0,433,105
539,-1,0,434,105
540,-1,0,435,105
541,-1,0,436,105
542,-1,0,437,105
543,0,0,437,106
544,0,0,437,107
545,0,0,437,108
546,-1,0,438,108
547,-1,0,439,108
548,-1,0,440,108
549,-1,0,441,108
550,-1,0,442,108
551,-1,0,443,108
552,-1,0,444,108
553,-1,0,445,108
554,-1,0,446,108
555,-1,0,447,108
556,-1,0,448,108
557,-1,0,449,108
558,-1,0,450,108
559,-1,0,451,108
560,-1,0,452,108
561,0,0,452,109
562,-1,0,453,109
563,-1,0,454,109
564,0,0,454,110
565,0,0,454,111
566,-1,0,455,111
567,-1,0,456,111
568,0,0,456,112
569,-1,0,457,112
570,-1,0,458,112
571,-1,0,459,112
572,-1,0,460,112
573,-1,0,461,112
574,-1,0,462,112
575,-1,0,463,112
576,-1,0,464,112
577,-1,0,465,112
578,0,0,465,113
579,-1,0,466,113
580,-1,0,467,113
581,0,0,467,114
582,-1,0,468,114
583,-1,0,469,114
584,-1,0,470,114
585,-1,0,471,114
586,-1,0,472,114
587,-1,0,473,114
588,-1,0,474,114
589,0,0,474,115
590,-1,0,475,115
591,-1,0,476,115
592,-1,0,477,115
593,0,0,477,116
594,-1,0,478,116
595,-1,0,479,116
596,-1,0,480,116
597,-1,0,481,116
598,0,0,481,117
599,0,0,481,118
600,-1,0,482,118
601,-1,0,483,118
602,-1,0,484,118
603,-1,0,485,118
604,-1,0,486,118
605,-1,0,487,118
606,-1,0,488,118
607,-1,0,489,118
608,-1,0,490,118
609,-1,0,491,118
610,-1,0,492,118
611,-1,0,493,118
612,0,0,493,119
613,-1,0,494,119
614,-1,0,495,119
615,0,0,495,120
616,-1,0,496,120
617,-1,0,497,120
618,-1,0,498,120
619,-1,0,499,120
620,-1,0,500,120
621,-1,0,501,120
622,0,0,501,121
623,-1,0,502,121
624,0,0,502,122
625,-1,0,503,122
626,-1,0,504,122
627,-1,0,505,122
628,0,0,505,123
629,-1,0,506,123
630,-1,0,507,123
631,-1,0,508,123
632,0,0,508,124
633,-1,0,509,124
634,0,0,509,125
635,-1,0,510,125
636,-1,0,511,125
637,-1,0,512,125
638,-1,0,513,125
639,-1,0,514,125
640,-1,0,515,125
641,-1,0,516,125
642,-1,0,517,125
643,-1,0,518,125
644,-1,0,519,125
645,0,0,519,126
646,0,0,519,127
647,0,0,519,128
648,-1,0,520,128
649,-1,0,521,128
650,-1,0,522,128
651,-1,0,523,128
652,-1,0,524,128
653,-1,0,525,128
654,0,0,525,129
655,-1,0,526,129
656,-1,0,527,129
657,-1,0,528,129
658,-1,0,529,129
659,-1,0,530,129
660,-1,0,531,129
661,-1,0,532,129
662,-1,0,533,129
663,-1,0,534,129
664,-1,0,535,129
665,-1,0,536,129
666,-1,0,537,129
667,-1,0,538,129
668,-1,0,539,129
669,-1,0,540,129
670,-1,0,541,129
671,-1,0,542,129
672,-1,0,543,129
673,-1,0,544,129
674,-1,0,545,129
675,-1,0,546,129
676,-1,0,547,129
677,-1,0,548,129
678,0,0,548,130
679,-1,0,549,130
680,-1,0,550,130
681,0,0,550,131
682,0,0,550,132
683,-1,0,551,132
684,-1,0,552,132
685,-1,0,553,132
686,-1,0,554,132
687,-1,0,555,132
688,-1,0,556,132
689,-1,0,557,132
690,-1,0,558,132
691,-1,0,559,132
692,0,0,559,133
693,-1,0,560,133
694,0,0,560,134
695,-1,0,561,134
696,-1,0,562,134
697,0,0,562,135
698,-1,0,563,135
699,-1,0,564,135
700,-1,0,565,135
701,-1,0,566,135
702,-1,0,567,135
703,-1,0,568,135
704,-1,0,569,135
705,-1,0,570,135
706,-1,0,571,135
707,-1,0,572,135
708,-1,0,573,135
709,-1,0,574,135
710,0,0,574,136
711,-1,0,575,136
712,-1,0,576,136
713,-1,0,577,136
714,0,0,577,137
715,0,0,577,138
716,-1,0,578,138
717,-1,0,579,138
718,-1,0,580,138
719,0,0,580,139
720,0,0,580,140
721,0,0,580,141
722,-1,0,581,141
723,-1,0,582,141
724,-1,0,583,141
725,0,0,583,142
726,-1,0,584,142
727,-1,0,585,142
728,-1,0,586,142
729,-1,0,587,142
730,-1,0,588,142
731,-1,0,589,142
732,0,0,589,143
733,-1,0,590,143
734,-1,0,591,143
735,-1,0,592,143
736,-1,0,593,143
737,-1,0,594,143
738,0,0,594,144
739,-1,0,595,144
740,-1,0,596,144
741,0,0,596,145
742,-1,0,597,145
743,-1,0,598,145
744,0,0,598,146
745,-1,0,599,146
746,-1,0,600,146
747,-1,0,601,146
748,-1,0,602,146
749,-1,0,603,146
750,-1,0,604,146
751,0,0,604,147
752,0,0,604,148
753,0,0,604,149
754,0,0,604,150
755,-1,0,605,150
756,-1,0,606,150
757,-1,0,607,150
758,0,0,607,151
759,-1,0,608,151
760,-1,0,609,151
761,-1,0,610,151
762,-1,0,611,151
763,-1,0,612,151
764,-1,0,613,151
765,-1,0,614,151
766,-1,0,615,151
767,-1,0,616,151
768,-1,0,617,151
769,-1,0,618,151
770,-1,0,619,151
771,-1,0,620,151
772,0,0,620,152
773,-1,0,621,152
774,0,0,621,153
775,-1,0,622,153
776,-1,0,623,153
777,-1,0,624,153
778,-1,0,625,153
779,-1,0,626,153
780,-1,0,627,153
781,-1,0,628,153
782,-1,0,629,153
783,-1,0,630,153
784,0,0,630,154
785,-1,0,631,154
786,-1,0,632,154
787,-1,0,633,154
788,-1,0,634,154
789,-1,0,635,154
790,-1,0,636,154
791,-1,0,637,154
792,0,0,637,155
793,-1,0,638,155
794,0,0,638,156
795,-1,0,639,156
796,0,0,639,157
797,-1,0,640,157
798,0,0,640,158
799,-1,0,641,158
800,-1,0,642,158
801,-1,0,643,158
802,-1,0,644,158
803,-1,0,645,158
804,0,0,645,159
805,-1,0,646,159
806,-1,0,647,159
807,-1,0,648,159
808,0,0,648,160
809,0,0,648,161
810,-1,0,649,161
811,0,0,649,162
812,-1,0,650,162
813,-1,0,651,162
814,-1,0,652,162
815,0,0,652,163
816,-1,0,653,163
817,-1,0,654,163
818,-1,0,655,163
819,-1,0,656,163
820,-1,0,657,163
821,0,0,657,164
822,0,0,657,165
823,-1,0,658,165
824,-1,0,659,165
825,0,0,659,166
826,0,0,659,167
827,0,0,659,168
828,-1,0,660,168
829,-1,0,661,168
830,-1,0,662,168
831,0,0,662,169
832,-1,0,663,169
833,-1,0,664,169
834,-1,0,665,169
835,-1,0,666,169
836,-1,0,667,169
837,-1,0,668,169
838,-1,0,669,169
839,-1,0,670,169
840,-1,0,671,169
841,0,0,671,170
842,-1,0,672,170
843,0,0,672,171
844,-1,0,673,171
845,-1,0,674,171
846,0,0,674,172
847,0,0,674,173
848,-1,0,675,173
849,0,0,675,174
850,-1,0,676,174
851,-1,0,677,174
852,-1,0,678,174
853,0,0,678,175
854,-1,0,679,175
855,0,0,679,176
856,-1,0,680,176
857,-1,0,681,176
858,-1,0,682,176
859,-1,0,683,176
860,-1,0,684,176
861,-1,0,685,176
862,-1,0,686,176
863,-1,0,687,176
864,-1,0,688,176
865,0,0,688,177
866,-1,0,689,177
867,-1,0,690,177
868,-1,0,691,177
869,-1,0,692,177
870,-1,0,693,177
871,-1,0,694,177
872,-1,0,695,177
873,-1,0,696,177
874,-1,0,697,177
875,0,0,697,178
876,-1,0,698,178
877,-1,0,699,178
878,0,0,699,179
879,-1,0,700,179
880,-1,0,701,179
881,-1,0,702,179
882,-1,0,703,179
883,0,0,703,180
884,-1,0,704,180
885,-1,0,705,180
886,0,0,705,181
887,-1,0,706,181
888,-1,0,707,181
889,-1,0,708,181
890,-1,0,709,181
891,-1,0,710,181
892,0,0,710,182
893,-1,0,711,182
894,-1,0,712,182
895,-1,0,713,182
896,-1,0,714,182
897,-1,0,715,182
898,0,0,715,183
899,-1,0,716,183
900,-1,0,717,183
901,-1,0,718,183
902,0,0,718,184
903,-1,0,719,184
904,-1,0,720,184
905,-1,0,721,184
906,-1,0,722,184
907,-1,0,723,184
908,-1,0,724,184
909,-1,0,725,184
910,-1,0,726,184
911,-1,0,727,184
912,-1,0,728,184
913,-1,0,729,184
914,0,0,729,185
915,-1,0,730,185
916,-1,0,731,185
917,-1,0,732,185
918,-1,0,733,185
919,-1,0,734,185
920,-1,0,735,185
921,-1,0,736,185
922,-1,0,737,185
923,-1,0,738,185
924,-1,0,739,185
925,-1,0,740,185
926,-1,0,741,185
927,0,0,741,186
928,-1,0,742,186
929,0,0,742,187
930,0,0,742,188
931,-1,0,743,188
932,-1,0,744,188
933,-1,0,745,188
934,-1,0,746,188
935,-1,0,747,188
936,-1,0,748,188
937,0,0,748,189
938,-1,0,749,189
939,-1,0,750,189
940,-1,0,751,189
941,-1,0,752,189
942,-1,0,753,189
943,-1,0,754,189
944,-1,0,755,189
945,-1,0,756,189
946,-1,0,757,189
947,-1,0,758,189
948,-1,0,759,189
949,-1,0,760,189
950,-1,0,761,189
951,-1,0,762,189
952,-1,0,763,189
953,0,0,763,190
954,-1,0,764,190
955,-1,0,765,190
956,-1,0,766,190
957,-1,0,767,190
958,-1,0,768,190
959,-1,0,769,190
960,-1,0,770,190
961,0,0,770,191
962,-1,0,771,191
963,-1,0,772,191
964,-1,0,773,191
965,0,0,773,192
966,0,0,773,193
967,-1,0,774,193
968,-1,0,775,193
969,-1,0,776,193
970,-1,0,777,193
971,-1,0,778,193
972,-1,0,779,193
973,-1,0,780,193
974,0,0,780,194
975,0,0,780,195
976,0,0,780,196
977,-1,0,781,196
978,-1,0,782,196
979,-1,0,783,196
980,-1,0,784,196
981,-1,0,785,196
982,-1,0,786,196
983,-1,0,787,196
984,0,0,787,197
985,0,0,787,198
986,-1,0,788,198
987,-1,0,789,198
988,-1,0,790,198
989,-1,0,791,198
990,-1,0,792,198
991,-1,0,793,198
992,-1,0,794,198
993,-1,0,795,198
994,-1,0,796,198
995,-1,0,797,198
996,-1,0,798,198
997,-1,0,799,198
998,-1,0,800,198
999,-1,0,801,198
1000,-1,0,802,198
1001,-1,0,803,198
1002,-1,0,804,198
1003,-1,0,805,198
1004,-1,0,806,198
1005,-1,0,807,198
1006,0,0,807,199
1007,-1,0,808,199
1008,-1,0,809,199
1009,0,0,809,200
1010,0,0,809,201
1011,-1,0,810,201
1012,-1,0,811,201
1013,-1,0,812,201
1014,-1,0,813,201
1015,-1,0,814,201
1016,-1,0,815,201
1017,-1,0,816,201
1018,-1,0,817,201
1019,-1,0,818,201
1020,-1,0,819,201
1021,-1,0,820,201
1022,0,0,820,202
1023,-1,0,821,202
1024,-1,0,822,202
1025,-1,0,823,202
1026,-1,0,824,202
1027,-1,0,825,202
1028,-1,0,826,202
1029,0,0,826,203
1030,-1,0,827,203
1031,-1,0,828,203
1032,-1,0,829,203
1033,-1,0,830,203
1034,-1,0,831,203
1035,-1,0,832,203
1036,-1,0,833,203
1037,-1,0,834,203
1038,0,0,834,204
1039,-1,0,835,204
1040,-1,0,836,204
1041,-1,0,837,204
1042,0,0,837,205
1043,-1,0,838,205
1044,-1,0,839,205
1045,-1,0,840,205
1046,-1,0,841,205
1047,0,0,841,206
1048,0,0,841,207
1049,-1,0,842,207
1050,-1,0,843,207
1051,0,0,843,208
1052,-1,0,844,208
1053,0,0,844,209
1054,-1,0,845,209
1055,-1,0,846,209
1056,-1,0,847,209
1057,-1,0,848,209
1058,-1,0,849,209
1059,-1,0,850,209
1060,-1,0,851,209
1061,-1,0,852,209
1062,-1,0,853,209
1063,-1,0,854,209
1064,-1,0,855,209
1065,-1,0,856,209
1066,-1,0,857,209
1067,-1,0,858,209
1068,-1,0,859,209
1069,0,0,859,210
1070,-1,0,860,210
1071,-1,0,861,210
1072,-1,0,862,210
1073,-1,0,863,210
1074,-1,0,864,210
1075,0,0,864,211
1076,-1,0,865,211
1077,0,0,865,212
1078,-1,0,866,212
1079,0,0,866,213
1080,-1,0,867,213
1081,-1,0,868,213
1082,-1,0,869,213
1083,0,0,869,214
1084,-1,0,870,214
1085,-1,0,871,214
1086,-1,0,872,214
1087,-1,0,873,214
1088,-1,0,874,214
1089,0,0,874,215
1090,-1,0,875,215
1091,-1,0,876,215
1092,0,0,876,216
1093,-1,0,877,216
1094,-1,0,878,216
1095,-1,0,879,216
1096,-1,0,880,216
1097,-1,0,881,216
1098,0,0,881,217
1099,-1,0,882,217
1100,-1,0,883,217
1101,-1,0,884,217
1102,-1,0,885,217
1103,-1,0,886,217
1104,-1,0,887,217
1105,-1,0,888,217
1106,0,0,888,218
1107,-1,0,889,218
1108,-1,0,890,218
1109,-1,0,891,218
1110,-1,0,892,218
1111,-1,0,893,218
1112,-1,0,894,218
1113,-1,0,895,218
1114,-1,0,896,218
1115,-1,0,897,218
1116,-1,0,898,218
1117,-1,0,899,218
1118,-1,0,900,218
1119,0,0,900,219
1120,-1,0,901,219
1121,-1,0,902,219
1122,-1,0,903,219
1123,-1,0,904,219
1124,-1,0,905,219
1125,-1,0,906,219
1126,-1,0,907,219
1127,-1,0,908,219
1128,-1,0,909,219
1129,-1,0,910,219
1130,0,0,910,220
1131,-1,0,911,220
1132,-1,0,912,220
1133,-1,0,913,220
1134,-1,0,914,220
1135,0,0,914,221
1136,-1,0,915,221
1137,-1,0,916,221
1138,0,0,916,222
1139,-1,0,917,222
1140,0,0,917,223
1141,-1,0,918,223
1142,-1,0,919,223
1143,-1,0,920,223
1144,0,0,920,224
1145,-1,0,921,224
1146,-1,0,922,224
1147,0,0,922,225
1148,-1,0,923,225
1149,0,0,923,226
1150,-1,0,924,226
1151,0,0,924,227
1152,-1,0,925,227
1153,-1,0,926,227
1154,-1,0,927,227
1155,0,0,927,228
1156,0,0,927,229
1157,-1,0,928,229
1158,0,0,928,230
1159,-1,0,929,230
1160,0,0,929,231
1161,-1,0,930,231
1162,-1,0,931,231
1163,-1,0,932,231
1164,-1,0,933,231
1165,-1,0,934,231
1166,-1,0,935,231
1167,-1,0,936,231
1168,-1,0,937,231
1169,-1,0,938,231
1170,-1,0,939,231
1171,-1,0,940,231
1172,-1,0,941,231
1173,-1,0,942,231
1174,-1,0,943,231
1175,-1,0,944,231
1176,-1,0,945,231
1177,-1,0,946,231
1178,-1,0,947,231
1179,-1,0,948,231
1180,-1,0,949,231
1181,0,0,949,232
1182,0,0,949,233
1183,0,0,949,234
1184,-1,0,950,234
1185,-1,0,951,234
1186,-1,0,952,234
1187,-1,0,953,234
1188,-1,0,954,234
1189,-1,0,955,234
1190,-1,0,956,234
1191,-1,0,957,234
1192,-1,0,958,234
1193,-1,0,959,234
1194,-1,0,960,234
1195,-1,0,961,234
1196,-1,0,962,234
1197,-1,0,963,234
1198,-1,0,964,234
1199,-1,0,965,234
1200,-1,0,966,234
1201,-1,0,967,234
1202,-1,0,968,234
1203,-1,0,969,234
1204,0,0,969,235
1205,-1,0,970,235
1206,-1,0,971,235
1207,-1,0,972,235
1208,-1,0,973,235
1209,-1,0,974,235
1210,-1,0,975,235
1211,-1,0,976,235
1212,-1,0,977,235
1213,-1,0,978,235
1214,-1,0,979,235
1215,-1,0,980,235
1216,0,0,980,236
1217,-1,0,981,236
1218,-1,0,982,236
1219,-1,0,983,236
1220,0,0,983,237
1221,-1,0,984,237
1222,-1,0,985,237
1223,-1,0,986,237
1224,-1,0,987,237
1225,-1,0,988,237
1226,-1,0,989,237
1227,-1,0,990,237
1228,-1,0,991,237
1229,-1,0,992,237
1230,-1,0,993,237
1231,-1,0,994,237
1232,0,0,994,238
1233,-1,0,995,238
1234,-1,0,996,238
1235,-1,0,997,238
1236,0,0,997,239
1237,-1,0,998,239
1238,-1,0,999,239
1239,0,0,999,240
1240,-1,0,1000,240
1241,-1,0,1001,240
1242,0,0,1001,241
1243,-1,0,1002,241
1244,-1,0,1003,241
1245,-1,0,1004,241
1246,0,0,1004,242
1247,-1,0,1005,242
